185,2 bathrooms,3 bedrooms,", Kamloops V1S1X8 BC, Canada",1775.00
186,1.5 bathrooms,3 bedrooms,", V2g4p1, Kamloops, BC",Please Contact
187,2 bathrooms,4 bedrooms,"1320 Burfield Dr, Sun Peaks, BC V0E 5N0, Canada",2095.00
188,No,1 bathroom,"V1E4G7, Canada",Please Contact
189,1 bathroom,2 bedrooms,"Linthorpe Road, Kamloops V2B 7S3 BC",1525.00
190,1 bathroom,1 bedroom,", kamloops V2C 1G7 BC, Canada",900.00
191,1 bathroom,2 bedrooms,", Kamloops V2B 7J8 BC, Canada",Please Contact
192,2 bathrooms,3 bedrooms,"1825 Tranquille Rd, Kamloops, BC V2B 3M2, Canada",1500.00
193,1 bathroom,1 bedroom,"2122 Farrington Court, v1s 1k2, Kamloops, BC",850.00
194,No,1.5 bathrooms,", V2C0C7, Kamloops, BC",Please Contact
195,1.5 bathrooms,2 bedrooms and den,"V2B 0E6, Canada",Please Contact
196,No,1 bathroom,"v2b7a0, Canada",Please Contact
197,1 bathroom,1 bedroom,", Kamloops  V2b0c9 BC, Canada",1300.00
198,2 bathrooms,4 bedrooms,", Kamloops  V2B0A1 BC, Canada",2000.00
199,1 bathroom,1 bedroom,"Shuswap Rd, Kamloops, BC, Canada",1300.00
200,2.5 bathrooms,5 bedrooms,"2047 Grasslands Blvd, Kamloops, BC V2B 0A6, Canada",Please Contact
201,1 bathroom,3 bedrooms,", kamloops v2b6r1 BC, Canada",Please Contact
202,No,1 bathroom,", Surrey V3W 3J6 BC, Canada",Please Contact
203,1 bathroom,3 bedrooms,"V2H 1K9, Canada",1500.00
204,1.5 bathrooms,3 bedrooms,"460 Dalgleish Dr, Kamloops, BC V2C 5W7, Canada",1550.00
205,2 bathrooms,3 bedrooms,", Kamloops V2E 1E9 BC, Canada",Please Contact
206,1.5 bathrooms,3 bedrooms,"460 Dalgleish Dr, Kamloops, BC V2C 5W7, Canada",1550.00
207,2 bathrooms,3 bedrooms,", Kamloops V2B 3E1 BC, Canada",1400.00
208,3 bathrooms,4 bedrooms,", kamloops v2c1k7 BC, Canada",2650.00
209,No,1 bathroom,", Kamloops V1S 1A3 BC, Canada",2500.00
